ID	Chromosome	ChrStart	ChrEnd	SiteSize	AssociatedGene	CodingStrand	Relation2Gene	1__AID_WT_DMSO.EventCounts	1__AID_WT_DMSO.StandBias	1__AID_WT_DMSO.StandDistribution	1__AID_WT_DMSO.GlobalMTPValue	1__AID_WT_DMSO.LocalMTPValue	1__AID_WT_DMSO.Signal2Noise	1__AID_WT_DMSO.CtrlEventCount	1__AID_WT_DMSO.CtrlMTPValue	1__AID_WT_DMSO.Signal2Ctrl
38	chr12	114499551	114503186	3635	SAlpha	-	TSSUpstream 0kb	589	0.9941513817100154	321(+)||(-)268	0.0	0.0	10.798333333333334	517	1.0378426358315096E-6	1.2690822273716733
39	chr12	114550571	114552246	1675	SGamma2b	-	Body	93	-0.9696787018231177	37(+)||(-)56	7.194245199571014E-14	0.0	9.932038834951456	103	1.0	1.0057979226640088
40	chr12	114573670	114576919	3249	SGamma1	-	Body	50	-0.9814538950336538	21(+)||(-)29	0.0	7.993605777301127E-15	10.185185185185185	54	1.0	1.0314335527119964
41	chr12	114601911	114603255	1344	SGamma3	-	Body	53	0.9790981671667148	31(+)||(-)22	0.0	0.0	9.557377049180328	19	1.8754597874703904E-10	3.107329292486035
42	chr12	114662039	114664834	2795	SMu	-	Body	641	-0.9992256366527461	310(+)||(-)331	0.0	0.0	10.764885496183206	571	1.883783569134323E-6	1.2505093167626282
43	chr13	3372282	3372885	603	NA	NA	NA	2	0.0	2(+)||(-)0	1.0	0.005046661709600997	7.333333333333334	5	1.0	0.4455792947715824
44	chr13	23830976	23831988	1012	Hist1h1c	+	Body	1	-0.0	0(+)||(-)1	1.0	1.0	11.0	6	1.0	0.18565803948815932
45	chr13	43880640	43900637	19997	Cd83	+	Overlap LowerBody	16	0.954434002924965	10(+)||(-)6	8.913989546499579E-9	1.5987211554602254E-14	8.8	24	1.0	0.7426321579526373
46	chr14	32427222	32427524	302	Hacl1	-	Body	37	0.9568886656798214	23(+)||(-)14	0.0	0.0	11.0	18	4.4360069585636097E-4	2.2897824870206316
47	chr14	115438077	115448051	9974	Mir92-1;Mir17hg;Mir19b-1;Mir20a;Mir18;Mir19a;Mir17	+;+;+;+;+;+;+	Contain;Contain;Contain;Contain;Contain;Contain;Contain	20	0.9340680553754911	13(+)||(-)7	1.1516467779415507E-9	0.0	7.333333333333333	5	4.645249896739756E-6	4.455792947715824
48	chr15	5067636	5071907	4271	Rpl37;Snord72	+;+	Overlap LowerBody;Contain	5	0.9709505944546688	3(+)||(-)2	0.00798813477317939	2.3666079016493313E-6	11.0	0	0.16694970450060165	5.56974118464478
49	chr15	31295599	31296721	1122	Ankrd33b	-	Body	2	1.0	1(+)||(-)1	1.0	0.01735390791375835	7.333333333333334	5	1.0	0.4455792947715824
50	chr15	61681913	62183592	501679	Myc;H2afy3;Pvt1	+;-;+	Contain;Contain;Contain	5899	0.9435744959228405	3769(+)||(-)2130	0.0	0.0	10.552772808586763	6626	1.0	0.9917266298889091
51	chr15	69402043	69402085	42	NA	NA	NA	4	0.0	4(+)||(-)0	0.03928547670090232	1.4068746168049984E-12	11.0	6	1.0	0.7426321579526373
52	chr15	74763516	74764108	592	Ly6e	+	TSSUpstream 21kb	27	-0.9182958340544896	9(+)||(-)18	0.0	0.0	10.241379310344826	35	1.0	0.8593314970594804
53	chr15	74784959	74789056	4097	Ly6e	+	Overlap UpperBody	22	1.0	11(+)||(-)11	2.398081733190338E-14	2.398081733190338E-14	11.0	17	1.0	1.4415800713198255
54	chr15	74917188	74917369	181	Ly6c1	-	TSSUpstream 37kb	3	-0.0	0(+)||(-)3	0.44039031292204367	5.436449610485283E-7	8.25	5	1.0	0.6683689421573736
55	chr15	77362959	77363738	779	Apol7c	-	Body	0	1.0	0(+)||(-)0	1.0	1.0	0.0	6	1.0	0.18565803948815932
56	chr15	79906374	79913486	7112	Snord83b;Snord43;Rpl3	-;-;-	Contain;Contain;Overlap LowerBody	28	-0.996316519558962	13(+)||(-)15	0.0	1.5987211554602254E-14	9.625000000000002	24	1.0	1.2996062764171152
57	chr15	82040865	82056701	15836	Tnfrsf13c;AI848285	-;-	Contain;Overlap UpperBody	11	0.9940302114769565	6(+)||(-)5	1.5757987506859195E-5	3.701039474890422E-12	8.066666666666666	19	1.0	0.6449174003272903
58	chr15	96510730	96529701	18971	Slc38a2	-	Overlap LowerBody	6	-0.0	0(+)||(-)6	0.026068515390723412	1.987572726562803E-4	6.6000000000000005	14	1.0	0.47740638725526685
59	chr15	103072759	103079749	6990	Nfe2;Gm10052;Gm5643;Hnrnpa1	-;+;+;+	Overlap LowerBody;Overlap LowerBody;Overlap LowerBody;Overlap LowerBody	13	0.961236604722876	8(+)||(-)5	7.942721920173312E-7	0.0	8.411764705882353	2	4.430574211511384E-6	7.240663540038215
60	chr16	10488006	10490791	2785	Ciita	+	Body	12	-0.6500224216483541	2(+)||(-)10	1.7736678206148326E-6	0.0	8.8	5	0.16961845833546807	2.6734757686294945
61	chr16	23107843	23119191	11348	Rfc4;Eif4a2;Snord2;Snora81	-;+;+;+	Overlap LowerBody;Overlap LowerBody;Contain;Contain	22	1.0	11(+)||(-)11	9.592326932761353E-14	7.993605777301127E-15	10.521739130434783	13	0.320595473841534	1.8851431701874641
62	chr16	84703928	84707558	3630	Mir155	+	TSSUpstream 6kb	6	0.9182958340544896	4(+)||(-)2	0.0038613274767138606	1.2628162515682106E-8	9.428571428571429	3	1.0	2.227896473857912
63	chr17	24665657	24667557	1900	2610019E17Rik;Rab26	+;-	Overlap LowerBody;Overlap LowerBody	3	0.9182958340544896	2(+)||(-)1	0.8046059681197857	6.130758140754367E-4	6.6	8	1.0	0.4177305888483585
64	chr17	29625556	29633092	7536	Pim1	+	Contain	6	0.0	6(+)||(-)0	0.00796677121176348	9.4654089366486E-7	8.250000000000002	11	1.0	0.607608129233976
65	chr17	34243195	34255524	12329	Brd2	-	Overlap LowerBody	12	0.9182958340544896	8(+)||(-)4	8.423120601008804E-7	7.993605777301127E-15	9.428571428571429	3	0.0018591412751369774	4.455792947715824
66	chr17	39980135	39985725	5590	Rn45s	+	Body	25	0.9895875212220557	14(+)||(-)11	0.0	7.993605777301127E-15	11.000000000000002	35	1.0	0.7956773120921115
67	chr17	45693057	45709346	16289	Slc35b2;Nfkbie;Hsp90ab1	+;+;-	Contain;Overlap LowerBody;Overlap LowerBody	13	0.9957274520849257	7(+)||(-)6	3.927081619892192E-7	7.993605777301127E-15	8.9375	18	1.0	0.8045181711153571
68	chr18	40467729	40467906	177	Kctd16	+	Body	1	0.0	1(+)||(-)0	1.0	0.2507851443282316	5.5	5	1.0	0.2227896473857912
69	chr18	60964749	60978152	13403	Tcof1;Mir5107;Cd74	-;+;+	Overlap LowerBody;Contain;Overlap LowerBody	21	-0.9182958340544896	7(+)||(-)14	2.27018404075352E-12	0.0	9.625	4	2.1149450191160213E-8	5.84822824387702
70	chr19	8166243	8166412	169	Slc22a28	-	Body	5	0.9709505944546688	3(+)||(-)2	0.00798813477317939	2.398081733190338E-13	11.0	2	1.0	2.78487059232239
71	chr19	8799410	8803136	3726	Snhg1;Snord22	+;+	Overlap LowerBody;Contain	12	0.9798687566511528	7(+)||(-)5	8.423120601008804E-7	0.0	9.428571428571429	8	1.0	1.670922355393434
